@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBV.12L6.B1"                       0                  0                  0   -3.249423811e-06
 "MCBH.11L6.B1"                       0                  0                  0                  0
 "MCBCV.10L6.B1"                      0                  0                  0   -7.740851142e-07
 "MCBCH.9L6.B1"                       0                  0                  0                  0
 "MCBCV.8L6.B1"                       0                  0                  0    1.003610741e-07
 "MCBYH.5L6.B1"                       0                  0                  0                  0
 "MKD.O5L6.B1"                        0                  0                  0                  0
 "MKD.N5L6.B1"                        0                  0                  0                  0
 "MKD.M5L6.B1"                        0                  0                  0                  0
 "MKD.L5L6.B1"                        0                  0                  0                  0
 "MKD.K5L6.B1"                        0                  0                  0                  0
 "MKD.J5L6.B1"                        0                  0                  0                  0
 "MKD.I5L6.B1"                        0                  0                  0                  0
 "MKD.H5L6.B1"                        0                  0                  0                  0
 "MKD.G5L6.B1"                        0                  0                  0                  0
 "MKD.F5L6.B1"                        0                  0                  0                  0
 "MKD.E5L6.B1"                        0                  0                  0                  0
 "MKD.D5L6.B1"                        0                  0                  0                  0
 "MKD.C5L6.B1"                        0                  0                  0                  0
 "MKD.B5L6.B1"                        0                  0                  0                  0
 "MKD.A5L6.B1"                        0                  0                  0                  0
 "MCBYV.4L6.B1"                       0                  0                  0   -7.699577509e-09
 "MSDA.E4L6.B1"                       0                  0                  0                  0
 "MSDA.D4L6.B1"                       0                  0                  0                  0
 "MSDA.C4L6.B1"                       0                  0                  0                  0
 "MSDA.B4L6.B1"                       0                  0                  0                  0
 "MSDA.A4L6.B1"                       0                  0                  0                  0
 "MSDB.C4L6.B1"                       0                  0                  0                  0
 "MSDB.B4L6.B1"                       0                  0                  0                  0
 "MSDB2.4L6.B1"                       0                  0                  0                  0
 "MSDB2.4R6.B1"                       0                  0                  0                  0
 "MSDB.A4R6.B1"                       0                  0                  0                  0
 "MSDB.B4R6.B1"                       0                  0                  0                  0
 "MSDC.A4R6.B1"                       0                  0                  0                  0
 "MSDC.B4R6.B1"                       0                  0                  0                  0
 "MSDC.C4R6.B1"                       0                  0                  0                  0
 "MSDC.D4R6.B1"                       0                  0                  0                  0
 "MSDC.E4R6.B1"                       0                  0                  0                  0
 "MCBYH.4R6.B1"                       0                  0                  0                  0
 "MCBYV.5R6.B1"                       0                  0                  0    -2.69873965e-10
 "MCBCH.8R6.B1"                       0                  0                  0                  0
 "MCBCV.9R6.B1"                       0                  0                  0    4.017845185e-09
 "MCBCH.10R6.B1"                      0                  0                  0                  0
 "MCBV.11R6.B1"                       0                  0                  0    2.620715415e-06
 "MCBH.12R6.B1"                       0                  0                  0                  0
 "MCBV.13R6.B1"                       0                  0                  0    9.705101256e-07
 "MCBH.14R6.B1"                       0                  0                  0                  0
 "MCBV.15R6.B1"                       0                  0                  0    1.502652885e-06
 "MCBH.16R6.B1"                       0                  0                  0                  0
 "MCBV.17R6.B1"                       0                  0                  0   -1.414675382e-06
 "MCBH.18R6.B1"                       0                  0                  0                  0
 "MCBV.19R6.B1"                       0                  0                  0   -6.365160225e-07
 "MCBH.20R6.B1"                       0                  0                  0                  0
 "MCBV.21R6.B1"                       0                  0                  0   -1.155898091e-06
 "MCBH.22R6.B1"                       0                  0                  0                  0
 "MCBV.23R6.B1"                       0                  0                  0   -3.126926022e-06
 "MCBH.24R6.B1"                       0                  0                  0                  0
 "MCBV.25R6.B1"                       0                  0                  0   -1.226821216e-06
 "MCBH.26R6.B1"                       0                  0                  0                  0
 "MCBV.27R6.B1"                       0                  0                  0   -3.062763484e-06
 "MCBH.28R6.B1"                       0                  0                  0                  0
 "MCBV.29R6.B1"                       0                  0                  0    1.033501117e-06
 "MCBH.30R6.B1"                       0                  0                  0                  0
 "MCBV.31R6.B1"                       0                  0                  0    1.328268991e-07
 "MCBH.32R6.B1"                       0                  0                  0                  0
 "MCBV.33R6.B1"                       0                  0                  0   -1.591144828e-07
 "MCBH.34L7.B1"                       0                  0                  0                  0
 "MCBV.33L7.B1"                       0                  0                  0   -7.182430709e-07
 "MCBH.32L7.B1"                       0                  0                  0                  0
 "MCBV.31L7.B1"                       0                  0                  0    8.276302251e-07
 "MCBH.30L7.B1"                       0                  0                  0                  0
 "MCBV.29L7.B1"                       0                  0                  0     3.47893592e-06
 "MCBH.28L7.B1"                       0                  0                  0                  0
 "MCBV.27L7.B1"                       0                  0                  0    2.907616086e-06
 "MCBH.26L7.B1"                       0                  0                  0                  0
 "MCBV.25L7.B1"                       0                  0                  0   -4.803157412e-06
 "MCBH.24L7.B1"                       0                  0                  0                  0
 "MCBV.23L7.B1"                       0                  0                  0    3.799588187e-06
 "MCBH.22L7.B1"                       0                  0                  0                  0
 "MCBV.21L7.B1"                       0                  0                  0    3.149384283e-07
 "MCBH.20L7.B1"                       0                  0                  0                  0
 "MCBV.19L7.B1"                       0                  0                  0    1.233823015e-06
 "MCBH.18L7.B1"                       0                  0                  0                  0
 "MCBV.17L7.B1"                       0                  0                  0   -4.530722275e-06
 "MCBH.16L7.B1"                       0                  0                  0                  0
 "MCBV.15L7.B1"                       0                  0                  0   -1.529140049e-06
 "MCBH.14L7.B1"                       0                  0                  0                  0
 "MCBV.13L7.B1"                       0                  0                  0    3.440880449e-06
 "MCBH.12L7.B1"                       0                  0                  0                  0
 "MCBV.11L7.B1"                       0                  0                  0     2.16909498e-06
 "MCBCH.10L7.B1"                      0                  0                  0                  0
