@ NAME             %07s "ROTATIONS"
@ TYPE             %07s "ROTATIONS"
@ TITLE            %11s "magnet rotations"
@ ORIGIN           %16s "MAD-X 2.12 Linux"
@ DATE             %08s "24/05/07"
@ TIME             %08s "15.00.00"
* NAME          YROTA      SROTA      INOUT
$ %s            %le        %le        %le
not found       -1         -1         -1
MQT.12R5        0          0          1
MS.12R5         0          0          1
MQT.13R5        0          0          1
MS.13R5         0          0          1
MQT.14R5        0          0          1
MS.14R5         0          0          1
MQT.15R5        0          0          1
MS.15R5         0          0          1
MQT.16R5        0          0          1
MS.16R5         0          0          1
MQT.17R5        0          0          1
MS.17R5         0          0          1
MQT.18R5        0          0          1
MS.18R5         0          0          1
MQT.19R5        0          0          1
MS.19R5         0          0          1
MQT.20R5        0          0          1
MS.20R5         0          0          1
MQT.21R5        0          0          1
MS.21R5         0          0          1
MO.22R5         0          0          1
MS.22R5         0          0          1
MQS.23R5        0          0          1
MS.23R5         0          0          1
MO.24R5         0          0          1
MS.24R5         0          0          1
MO.25R5         0          0          1
MS.25R5         0          0          1
MO.26R5         0          0          1
MS.26R5         0          0          1
MQS.27R5        0          0          1
MS.27R5         0          0          1
MO.28R5         0          0          1
MS.28R5         0          0          1
MO.29R5         0          0          1
MSS.29R5        0          0          1
MO.30R5         0          0          1
MS.30R5         0          0          1
MO.31R5         0          0          1
MS.31R5         0          0          1
MO.32R5         0          0          1
MS.32R5         0          0          1
MO.33R5         0          0          1
MSS.33R5        0          0          1
MO.34R5         0          0          1
MS.34L6         0          0          1
MO.33L6         0          0          1
MSS.33L6        0          0          1
MO.32L6         0          0          1
MS.32L6         0          0          1
MO.31L6         0          0          1
MS.31L6         0          0          1
MO.30L6         0          0          1
MS.30L6         0          0          1
MO.29L6         0          0          1
MSS.29L6        0          0          1
MO.28L6         0          0          1
MS.28L6         0          0          1
MQS.27L6        0          0          1
MS.27L6         0          0          1
MO.26L6         0          0          1
MS.26L6         0          0          1
MO.25L6         0          0          1
MS.25L6         0          0          1
MO.24L6         0          0          1
MS.24L6         0          0          1
MQS.23L6        0          0          1
MS.23L6         0          0          1
MO.22L6         0          0          1
MS.22L6         0          0          1
MQT.21L6        0          0          1
MS.21L6         0          0          1
MQT.20L6        0          0          1
MS.20L6         0          0          1
MQT.19L6        0          0          1
MS.19L6         0          0          1
MQT.18L6        0          0          1
MS.18L6         0          0          1
MQT.17L6        0          0          1
MS.17L6         0          0          1
MQT.16L6        0          0          1
MS.16L6         0          0          1
MQT.15L6        0          0          1
MS.15L6         0          0          1
MQT.14L6        0          0          1
MS.14L6         0          0          1
MQT.13L6        0          0          1
MS.13L6         0          0          1
MQT.12L6        0          0          1
MS.12L6         0          0          1
MQTLI.11L6      180        0          1
MCBH.11L6       180        0          1
MCBV.11L6       180        0          1
MS.11L6         0          0          1
MQML.10L6       0          0          1
MQMC.9L6        0          0          1
MQM.9L6         0          0          1
MQML.8L6        0          0          1
MQY.5L6         0          0          1
MQY.4L6         0          0          1
MQY.4R6         0          0          1
MQY.5R6         0          0          1
MQML.8R6        0          0          1
MQMC.9R6        0          0          1
MQM.9R6         0          0          1
MQML.10R6       0          0          1
MQTLI.11R6      180        0          1
MCBH.11R6       180        0          1
MCBV.11R6       180        0          1
MS.11R6         0          0          1
MQT.12R6        0          0          1
MS.12R6         0          0          1
MQT.13R6        0          0          1
MS.13R6         0          0          1
MQT.14R6        0          0          1
MS.14R6         0          0          1
MQT.15R6        0          0          1
MS.15R6         0          0          1
MQT.16R6        0          0          1
MS.16R6         0          0          1
MQT.17R6        0          0          1
MS.17R6         0          0          1
MQT.18R6        0          0          1
MS.18R6         0          0          1
MQT.19R6        0          0          1
MS.19R6         0          0          1
MQT.20R6        0          0          1
MS.20R6         0          0          1
MQT.21R6        0          0          1
MS.21R6         0          0          1
MO.22R6         0          0          1
MS.22R6         0          0          1
MQS.23R6        0          0          1
MS.23R6         0          0          1
MO.24R6         0          0          1
MS.24R6         0          0          1
MO.25R6         0          0          1
MS.25R6         0          0          1
MO.26R6         0          0          1
