@ NAME             %08s "APERTURE"
@ TYPE             %08s "APERTURE"
@ SEQUENCE         %07s "LHCCELL"
@ PARTICLE         %06s "PROTON"
@ MASS             %le    0.938
@ ENERGY           %le  450.000
@ PC               %le  449.999
@ GAMMA            %le  479.605
@ EXN              %le    0.000
@ EYN              %le    0.000
@ DQF              %le    2.086
@ BETAQFX          %le  170.250
@ PARAS_DX         %le       0.273
@ PARAS_DY         %le       0.273
@ DP_BUCKET_SIZE   %le    0.002
@ TWISS_DELTAP     %le    0.000
@ CO_RADIUS        %le    0.004
@ BETA_BEATING     %le    1.100
@ NB_OF_ANGLES     %d   20
@ HALO_PRIM        %le       6
@ HALO_R           %le       8.4
@ HALO_H           %le       7.3
@ HALO_V           %le       7.3
@ n1min            %le   4.85636
@ at_element       %05s  "MQ1:1"
@ TITLE            %37s "LHC Cell APERTURE exemple, BJ Aug2009"
@ ORIGIN           %19s "MAD-X 4.01.41 Linux"
@ DATE             %08s "02/02/11"
@ TIME             %08s "19.14.07"
* NAME                     S    BETX    BETY      DX       X       Y      N1 APERTYPE            APER_1  APER_2  APER_3  APER_4    XTOL    YTOL    RTOL 
$ %s                     %le     %le     %le     %le     %le     %le     %le %s                     %le     %le     %le     %le     %le     %le     %le 
 "MB3"                48.646  37.770 155.262   1.145   0.000   0.000   7.529 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                49.667  36.452 159.836   1.130   0.000   0.000   7.412 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                50.689  35.214 164.489   1.115   0.000   0.000   7.298 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB3"                51.710  34.056 169.222   1.100   0.000   0.000   7.186 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_2"            53.450  32.266 177.468   1.075   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MQ2"                53.450  32.266 177.468   1.075   0.000   0.000   7.003 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ2"                54.483  31.607 180.799   1.066   0.000   0.000   6.933 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ2"                55.517  31.607 180.799   1.066   0.000   0.000   6.933 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MQ2"                56.550  32.266 177.468   1.076   0.000   0.000   7.003 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_0"            60.220  36.311 160.346   1.130   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB4"                60.220  36.311 160.346   1.130   0.000   0.000   7.399 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                61.241  37.620 155.763   1.145   0.000   0.000   7.516 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                62.263  39.009 151.261   1.161   0.000   0.000   7.636 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                63.284  40.477 146.837   1.177   0.000   0.000   7.760 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                64.306  42.025 142.494   1.193   0.000   0.000   7.886 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                65.327  43.652 138.230   1.210   0.000   0.000   8.016 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                66.349  45.359 134.045   1.227   0.000   0.000   8.150 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                67.370  47.146 129.941   1.244   0.000   0.000   8.287 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                68.391  49.013 125.916   1.262   0.000   0.000   8.428 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                69.413  50.958 121.970   1.280   0.000   0.000   8.573 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                70.434  52.984 118.104   1.299   0.000   0.000   8.722 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                71.456  55.089 114.318   1.318   0.000   0.000   8.875 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                72.477  57.274 110.612   1.337   0.000   0.000   9.033 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                73.499  59.539 106.985   1.357   0.000   0.000   9.195 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB4"                74.520  61.883 103.438   1.377   0.000   0.000   9.362 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_1"            75.540  64.303  99.975   1.397   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB5"                75.540  64.303  99.975   1.397   0.000   0.000   9.533 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                76.561  66.806  96.587   1.417   0.000   0.000   9.709 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                77.583  69.389  93.278   1.438   0.000   0.000   9.891 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                78.604  72.052  90.050   1.459   0.000   0.000  10.077 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                79.626  74.794  86.900   1.481   0.000   0.000  10.269 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                80.647  77.615  83.831   1.503   0.000   0.000  10.466 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                81.669  80.517  80.841   1.525   0.000   0.000  10.669 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                82.690  83.497  77.931   1.548   0.000   0.000  10.590 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                83.711  86.558  75.100   1.571   0.000   0.000  10.453 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                84.733  89.698  72.349   1.594   0.000   0.000  10.317 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                85.754  92.918  69.678   1.618   0.000   0.000  10.182 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                86.776  96.217  67.086   1.642   0.000   0.000  10.044 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                87.797  99.596  64.574   1.666   0.000   0.000   9.902 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                88.819 103.055  62.142   1.691   0.000   0.000   9.762 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB5"                89.840 106.593  59.789   1.716   0.000   0.000   9.622 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_1"            90.860 110.206  57.519   1.742   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "MB6"                90.860 110.206  57.519   1.742   0.000   0.000   9.485 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                91.881 113.903  55.326   1.767   0.000   0.000   9.348 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                92.903 117.680  53.212   1.793   0.000   0.000   9.207 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                93.924 121.536  51.177   1.820   0.000   0.000   9.067 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                94.946 125.472  49.223   1.847   0.000   0.000   8.929 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                95.967 129.488  47.347   1.874   0.000   0.000   8.792 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                96.989 133.583  45.552   1.901   0.000   0.000   8.657 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                98.010 137.758  43.836   1.929   0.000   0.000   8.515 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"                99.031 142.012  42.200   1.957   0.000   0.000   8.373 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               100.053 146.346  40.644   1.986   0.000   0.000   8.233 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               101.074 150.760  39.167   2.015   0.000   0.000   8.096 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               102.096 155.253  37.770   2.044   0.000   0.000   7.959 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               103.117 159.825  36.452   2.074   0.000   0.000   7.822 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               104.139 164.478  35.214   2.104   0.000   0.000   7.687 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "MB6"               105.160 169.209  34.056   2.134   0.000   0.000   7.554 "RECTELLIPSE"         0.022   0.018   0.022   0.022   0.001   0.001   0.001
 "DRIFT_2"           106.900 177.453  32.266   2.186   0.000   0.000 999999.000 ""                    0.000   0.000   0.000   0.000   0.000   0.000   0.000
 "LHCCELL$END"       106.900 177.453  32.266   2.186   0.000   0.000 999999.000 "CIRCLE"              0.000   0.000   0.000   0.000   0.000   0.000   0.000
